StandardName	Height (mm)	Radius1 (mm)	Angle (deg)	Diameter (mm)	KFactor	MinorDiameter (mm)	HeightType	ConeOption	RadiusActivity	FlatPatternMode	FlatDiameter (mm)	DefinitionType
D01TwoDiam	3			40	0.3	15	Inner	TRUE	FALSE	KFactor		TwoDiameters
D02MajorDiam	3	4	59	40			Outer	TRUE	TRUE	FlatDiameter	10	MajorDiameter
D03MinorDiam		3	30		0.4	11		FALSE	TRUE	KFactor		MinorDiameter
D04PunchAndDieDiam	4			50	0.4	10	Inner	TRUE	FALSE	KFactor		PunchAndDieDiameters
D05MinorDiam	5		30			50	Inner	TRUE	FALSE	FlatDiameter	4	MinorDiameter
D06MajorDiam	5		54	60	0.45		Inner	TRUE	FALSE	KFactor		MajorDiameter
D07MajorDiam		10	40	70				FALSE	TRUE	FlatDiameter	6	MajorDiameter
D08PunchAndDieDiam		10		80		75		FALSE	TRUE	FlatDiameter	7	PunchAndDieDiameters
D09TwoDiam		2		90		80		FALSE	TRUE	FlatDiameter	20	TwoDiameters
D10TwoDiam	6	2		120	0.5	100	Outer	TRUE	TRUE	KFactor		TwoDiameters
