JoggleCompensation_SfMax (mm)	JoggleCompensation_XfMax (mm)	JoggleCompensation_Af (mm)
1.5	4.5	0.55
1.5	8.5	0.65
1.5	18.5	0.75
1.5	24.5	0.85
1.5	30.5	1.05
1.5	40.5	1.25
1.5	100000	1.55
3.5	4.5	0.56
3.5	8.5	0.66
3.5	18.5	0.76
3.5	24.5	0.86
3.5	30.5	1.06
3.5	40.5	1.26
3.5	100000	1.56
10.5	4.5	0.57
10.5	8.5	0.67
10.5	18.5	0.77
10.5	24.5	0.86
10.5	30.5	1.07
10.5	40.5	1.27
10.5	100000	1.57
15.5	4.5	0.58
15.5	8.5	0.68
15.5	18.5	0.78
15.5	24.5	0.88
15.5	30.5	1.08
15.5	40.5	1.28
15.5	100000	1.58
20.5	4.5	0.59
20.5	8.5	0.69
20.5	18.5	0.79
20.5	24.5	0.89
20.5	30.5	1.09
20.5	40.5	1.29
20.5	100000	1.59
100000	4.5	0.6
100000	8.5	0.7
100000	18.5	0.8
100000	24.5	0.9
100000	30.5	1.1
100000	40.5	1.3
100000	100000	1.6
