X:	Y:
0	5.9393e-008
5	6.41558e-008
10	8.35756e-008
15	1.52698e-007
20	8.41428e-007
25	6.82723e-007
30	4.37681e-008
35	1.04125e-008
40	4.49254e-009
45	3.28058e-009
50	3.30285e-009
55	3.74506e-009
60	4.39208e-009
65	5.21833e-009
70	6.30113e-009
75	7.85205e-009
80	1.04208e-008
85	1.58846e-008
90	3.70426e-008
95	5.42815e-008
100	1.46693e-008
105	7.538e-009
110	4.56059e-009
115	2.90562e-009
120	1.83823e-009
125	1.08333e-009
130	5.16022e-010
135	1.05139e-010
140	3.30477e-010
145	6.41745e-010
150	9.17063e-010
155	1.16409e-009
160	1.39007e-009
165	1.6007e-009
170	1.80046e-009
175	1.99301e-009
180	2.18142e-009
185	2.3684e-009
190	2.5564e-009
195	2.74776e-009
200	2.94481e-009
205	3.14993e-009
210	3.36568e-009
215	3.59486e-009
220	3.84067e-009
225	4.10682e-009
230	4.39771e-009
235	4.7187e-009
240	5.0764e-009
245	5.47916e-009
250	5.93773e-009
255	6.46621e-009
260	7.08355e-009
265	7.81589e-009
270	8.70031e-009
275	9.79136e-009
280	1.11726e-008
285	1.2979e-008
290	1.54432e-008
295	1.90023e-008
300	2.45806e-008
305	3.44961e-008
310	5.62322e-008
315	1.16148e-007
320	9.73705e-008
325	4.9892e-008
330	3.2374e-008
335	2.38806e-008
340	1.89312e-008
345	1.57056e-008
350	1.34427e-008
355	1.17706e-008
360	1.0487e-008
365	9.47234e-009
370	8.65179e-009
375	7.97598e-009
380	7.41114e-009
385	6.9334e-009
390	6.52542e-009
395	6.17434e-009
400	5.87047e-009
405	5.60634e-009
410	5.37621e-009
415	5.17557e-009
420	5.00091e-009
425	4.8495e-009
430	4.71926e-009
435	4.60864e-009
440	4.51659e-009
445	4.44252e-009
450	4.38629e-009
455	4.34825e-009
460	4.32934e-009
465	4.33119e-009
470	4.35633e-009
475	4.40855e-009
480	4.49342e-009
485	4.61921e-009
490	4.79846e-009
495	5.05076e-009
500	5.40817e-009
505	5.92634e-009
510	6.70948e-009
515	7.97217e-009
520	1.01995e-008
525	1.43378e-008
530	1.75005e-008
535	1.12159e-008
540	6.37781e-009
545	3.95946e-009
550	2.61302e-009
555	1.77728e-009
560	1.21692e-009
565	8.20894e-010
570	5.32276e-010
575	3.23337e-010
580	1.94594e-010
585	1.78397e-010
590	2.42297e-010
595	3.21148e-010
600	3.95506e-010
605	4.62226e-010
610	5.21605e-010
615	5.74647e-010
620	6.22424e-010
625	6.65913e-010
630	7.05978e-010
635	7.43373e-010
640	7.78769e-010
645	8.12774e-010
650	8.45959e-010
655	8.78877e-010
660	9.12093e-010
665	9.46209e-010
670	9.81903e-010
675	1.01998e-009
680	1.06144e-009
685	1.1076e-009
690	1.16029e-009
695	1.22212e-009
700	1.29712e-009
705	1.39169e-009
710	1.51644e-009
715	1.68859e-009
720	1.92593e-009
725	2.14955e-009
730	1.84223e-009
735	1.07026e-009
740	7.01224e-010
745	6.96104e-010
750	8.00503e-010
755	9.1955e-010
760	1.03774e-009
765	1.1566e-009
770	1.28083e-009
775	1.41607e-009
780	1.569e-009
785	1.74825e-009
790	1.96577e-009
795	2.23947e-009
800	2.59771e-009
805	3.0881e-009
810	3.79404e-009
815	4.85827e-009
820	6.43507e-009
825	8.00102e-009
830	7.49603e-009
835	5.59987e-009
840	4.10579e-009
845	3.13521e-009
850	2.49213e-009
855	2.04423e-009
860	1.71743e-009
865	1.46966e-009
870	1.27588e-009
875	1.12047e-009
880	9.93199e-010
885	8.87164e-010
890	7.97521e-010
895	7.20785e-010
900	6.54386e-010
905	5.96388e-010
910	5.45305e-010
915	4.99976e-010
920	4.59481e-010
925	4.23083e-010
930	3.90179e-010
935	3.60272e-010
940	3.32947e-010
945	3.07852e-010
950	2.84683e-010
955	2.63177e-010
960	2.43093e-010
965	2.24215e-010
970	2.06336e-010
975	1.89255e-010
980	1.72777e-010
985	1.56716e-010
990	1.40941e-010
995	1.25527e-010
1000	1.11273e-010

