x(mm)	y(mm)	z(mm)	ALL(N_m2)	
110.504	4.3728	-10.6676	10	
128	4.3728	-0.000735787	10	
97.8754	4.3728	-6.18202	10	
97.8754	4.3728	6.18202	10	
110.504	4.3728	10.6676	10	
123	4.3728	-0.000735787	10	
110	5.3728	-0.000735787	10	
117.903	4.3728	-11.8481	10	
101.423	4.3728	-7.06308	10	
97.8754	4.3728	-1.53657	10	
97.8754	4.3728	2.04118	10	
103.878	4.3728	7.83804	10	
117.903	4.3728	11.8481	10	
116.213	5.3728	5.99624	10	
114.886	5.3728	-5.8957	10	
103.086	4.3728	-0.408872	10	
125.133	4.3728	-7.78372	10	
123.208	4.3728	9.59365	10	
110.842	4.3728	-4.73198	10	
121.09	4.3728	-4.80494	10	
112.208	4.3728	5.88365	10	
119.922	5.3728	4.54039	10	
