x(mm)	y(mm)	z(mm)	coef
-30	-30	0	50
-30	-20	0	50
-30	-10	0	50
-30	0	0	50
-30	10	0	50
-30	20	0	50
-30	30	0	50
-20	-30	0	100
-20	-20	0	100
-20	-10	0	100
-20	0	0	100
-20	10	0	100
-20	20	0	100
-20	30	0	100
-10	-30	0	150
-10	-20	0	150
-10	-10	0	150
-10	0	0	150
-10	10	0	150
-10	20	0	150
-10	30	0	150
0	-30	0	200
0	-20	0	200
0	-10	0	200
0	0	0	200
0	10	0	200
0	20	0	200
0	30	0	200
10	-30	0	150
10	-20	0	150
10	-10	0	150
10	0	0	150
10	10	0	150
10	20	0	150
10	30	0	150
20	-30	0	100
20	-20	0	100
20	-10	0	100
20	0	0	100
20	10	0	100
20	20	0	100
20	30	0	100
30	-30	0	50
30	-20	0	50
30	-10	0	50
30	0	0	50
30	10	0	50
30	20	0	50
30	30	0	50
